Here are the actual maximum interval lengths we observed, for each minimum Nmer size used to split up the genome.
To proceed, specify a maxIntervalLen that is equal to or slightly greater than the ones observed here.
Nmer MaxObservedInterval NumIntervals
455 14601389 670
535 15750738 536
761 15750738 535
850 15750738 534
1161 15750738 533
1263 15750738 531
1855 15750738 530
1948 15750738 529
2871 15750738 528
3000 15750738 527
4929 15750738 525
4994 15750738 524
6007 15750738 523
6113 15750738 522
6242 15750738 521
6447 15750738 520
7768 15750738 519
8325 15750738 518
8500 15750738 517
9100 15750738 516
10043 15750738 515
10194 15750738 514
10437 15750738 513
10529 15750738 512
12188 15750738 511
12321 15750738 510
12883 15750738 509
13362 15750738 508
14621 15750738 507
14992 15750738 506
15048 15750738 505
15594 15750738 504
15646 15750738 503
16508 15750738 501
16830 15750738 500
17173 15750738 499
17692 15750738 498
18988 15750738 497
19601 15750738 495
19692 15750738 494
19768 15750738 493
20824 15750738 492
20923 15750738 491
21561 15750738 490
22114 15750738 489
22359 15750738 488
23860 15750738 487
24040 15750738 486
24221 15750738 485
24554 15750738 484
24851 15750738 483
25216 15750738 481
25771 15750738 480
25847 15750738 479
25965 15750738 478
26027 17040871 477
26298 17040871 476
26472 17040871 475
27024 17040871 473
27467 17040871 472
27921 17040871 471
27983 17040871 470
28250 17040871 469
28474 17040871 468
28845 17040871 467
29112 17040871 466
29331 17040871 465
29384 17040871 464
29998 17040871 463
30381 17040871 462
30520 17040871 461
32201 17040871 460
32927 17040871 459
33198 17040871 458
33374 17040871 457
33503 17040871 456
34307 17040871 455
34457 17040871 454
35045 17040871 453
35393 17040871 452
37618 17040871 450
37735 17040871 449
37876 17040871 448
38085 17040871 447
39364 17040871 446
40853 17040871 445
40907 17040871 442
41064 23956836 441
41860 23956836 440
41996 23956836 439
42107 23956836 438
42611 23956836 437
42790 23956836 435
43321 23956836 434
43383 23956836 433
43910 23956836 432
44154 23956836 431
44346 23956836 430
44452 23956836 428
44597 23956836 427
44930 24640078 425
45025 24640078 424
45215 24640078 423
45580 24640078 422
45877 24640078 421
45958 24640078 420
46427 24640078 419
46583 24640078 418
46890 24640078 417
47029 24640078 416
47351 24640078 415
47788 24640078 414
48397 24640078 413
48926 24640078 412
49876 24640078 411
50114 24640078 410
50534 24640078 409
51099 24640078 408
51450 24640078 407
51527 24640078 406
51593 24640078 405
51711 24640078 404
51773 24640078 403
51912 24640078 401
52663 24640078 400
53331 24945892 399
53490 24945892 398
53551 24945892 397
53745 24945892 396
54013 24945892 395
54119 24945892 394
54522 24945892 393
55038 24945892 392
55780 24945892 390
56066 24945892 389
56445 24945892 388
57411 24945892 387
58012 24945892 385
58273 27653469 384
58492 27653469 382
60652 27653469 381
61052 27653469 380
61134 27653469 379
61374 27653469 378
61808 27653469 376
62135 27653469 375
62351 27653469 373
62706 27653469 372
62970 27653469 369
63346 27653469 368
63644 27653469 367
64132 27653469 366
65544 27653469 365
66599 27653469 364
66845 27653469 363
67073 27653469 362
67291 27653469 361
67388 27653469 360
67826 27653469 359
68005 27653469 358
68404 27653469 357
68775 27653469 356
68937 27653469 355
69371 27653469 353
69603 27653469 352
70378 27653469 351
72331 27653469 350
72461 27653469 349
72706 27653469 348
73146 27653469 347
73737 27653469 345
73890 27653469 344
74497 27653469 343
75084 27653469 342
75717 27653469 341
75970 27653469 339
76287 27653469 338
76575 27653469 337
77404 27653469 336
77652 27653469 335
78054 27653469 334
79374 27653469 332
79675 27653469 331
80908 27653469 330
81735 27653469 328
82096 27653469 327
82538 27653469 326
82808 27653469 325
83217 27653469 324
83493 27653469 322
83619 27653469 321
84408 27653469 320
84999 27653469 319
85306 27653469 317
86263 27653469 316
86650 27653469 315
86742 27653469 314
87393 27897739 313
88524 27897739 312
89734 27897739 311
91284 27897739 310
91443 27897739 308
92311 27897739 307
92637 28704870 306
93112 28704870 305
94321 28704870 304
94422 28704870 303
95085 28704870 302
95752 28704870 301
96256 28704870 299
96458 33069035 298
96940 33069035 297
97773 33069035 296
98160 33069035 295
102206 33069035 294
103717 33069035 293
104283 33069035 292
104918 33069035 291
105244 33069035 290
105546 33069035 289
105673 34137969 288
107442 34137969 287
108372 34137969 286
108740 34137969 285
108939 34137969 284
109516 34137969 283
110159 34137969 282
110369 34137969 281
110995 34137969 280
111076 34137969 279
111184 34137969 278
111714 34137969 277
114968 34137969 276
115180 34137969 275
117922 34137969 274
118079 34137969 273
118849 34137969 272
120809 34137969 271
120961 34137969 270
122393 34137969 269
125196 34137969 268
130081 34137969 267
131157 34137969 266
135228 34137969 265
135519 34137969 264
140595 34137969 263
141978 34137969 262
146064 34137969 261
148506 34137969 260
151428 34137969 259
154407 34137969 258
159227 34137969 256
159313 34137969 255
167171 34137969 254
174239 34137969 253
174554 34137969 252
175224 34137969 251
179543 34137969 250
183390 34137969 249
185831 34137969 248
187065 34137969 247
190354 34137969 246
206018 34137969 245
215666 34137969 244
215948 34137969 243
218145 34794352 242
222019 34794352 241
238244 34794352 240
243936 34794352 239
244522 34794352 238
254213 34794352 237
266181 34794352 236
283391 34794352 235
283689 34794352 234
312925 40599828 233
329357 40599828 232
331532 40599828 231
373396 43798135 230
401672 43798135 229
609820 43798135 228
